Code station,Nom station,,,Code ZAS,,,,,,,,,,Latitude,Longitude
FR04023,CERGY-PONTOISE,,,AIRPARIF,,,,,,,,,,"49,04639","2,043056"
FR04024,GONESSE,,,AIRPARIF,,,,,,,,,,"48,99083","2,444722"
FR04029,VERSAILLES,,,AIRPARIF,,,,,,,,,,"48,799168","2,130556"
FR04031,Av Champs Elysees,,,AIRPARIF,,,,,,,,,,"48,86889","2,311944"
FR04034,VITRY-SUR-SEINE,,,AIRPARIF,,,,,,,,,,"48,7758","2,3758"
FR04037,PARIS 13eme,,,AIRPARIF,,,,,,,,,,"48,82861","2,360278"
FR04038,Zone Rurale SO,,,AIRPARIF,,,,,,,,,,"48,581944","1,883333"
FR04048,Zone Rurale Nord,,,AIRPARIF,,,,,,,,,,"49,100277","2,343889"
FR04049,LES ULIS,,,AIRPARIF,,,,,,,,,,"48,679443","2,165556"
FR04051,ARGENTEUIL,,,AIRPARIF,,,,,,,,,,"48,95139","2,223611"
FR04055,PARIS 1er Les Halles,,,AIRPARIF,,,,,,,,,,"48,86212","2,344616"
FR04058,Auto A1 -Saint-Denis,,,AIRPARIF,,,,,,,,,,"48,925278","2,356667"
FR04059,SAINT-DENIS,,,AIRPARIF,,,,,,,,,,"48,93722","2,361667"
FR04060,PARIS 7eme,,,AIRPARIF,,,,,,,,,,"48,8572","2,2933"
FR04063,MANTES-LA-JOLIE,,,AIRPARIF,,,,,,,,,,"48,9964","1,7033"
FR04066,Zone rurale Sud,,,AIRPARIF,,,,,,,,,,"48,364166","2,236944"
FR04069,MELUN,,,AIRPARIF,,,,,,,,,,"48,54139","2,661389"
FR04071,Rue Bonaparte,,,AIRPARIF,,,,,,,,,,"48,856388","2,335278"
FR04098,LOGNES,,,AIRPARIF,,,,,,,,,,"48,84028","2,635278"
FR04099,NOGENT-SUR-MARNE,,,AIRPARIF,,,,,,,,,,"48,840557","2,484444"
FR04100,VILLEMOMBLE,,,AIRPARIF,,,,,,,,,,"48,881947","2,507222"
FR04101,CHAMPIGNY-SUR-MARNE,,,AIRPARIF,,,,,,,,,,"48,816387","2,5175"
FR04118,Place de l'Opéra,,,AIRPARIF,,,,,,,,,,"48,870274","2,3325"
FR04122,RN6-MELUN,,,AIRPARIF,,,,,,,,,,"48,528057","2,653611"
FR04123,RN2-PANTIN,,,AIRPARIF,,,,,,,,,,"48,90222","2,390833"
FR04131,Boulevard Haussmann,,,AIRPARIF,,,,,,,,,,"48,873333","2,330278"
FR04135,Boulevard Soult,,,AIRPARIF,,,,,,,,,,"48,83796","2,408061"
FR04141,Quai des Celestins,,,AIRPARIF,,,,,,,,,,"48,85278","2,360556"
FR04142,Zone Rurale Nord-Est,,,AIRPARIF,,,,,,,,,,"49,028057","2,750278"
FR04149,MONTGERON,,,AIRPARIF,,,,,,,,,,"48,7067","2,4572"
FR04150,LA DEFENSE,,,AIRPARIF,,,,,,,,,,"48,891388","2,240556"
FR04156,BOBIGNY,,,AIRPARIF,,,,,,,,,,"48,902504","2,4525"
FR04158,Zone Rurale NO,,,AIRPARIF,,,,,,,,,,"49,063087","1,866381"
FR04173,RD934 Coulommiers,,,AIRPARIF,,,,,,,,,,"48,8059","3,084158"
FR04179,PARIS Stade Lenglen,,,AIRPARIF,,,,,,,,,,"48,830387","2,269889"
FR04180,RN20 - MONTLHERY,,,AIRPARIF,,,,,,,,,,"48,64093","2,26872"
FR04181,RAMBOUILLET,,,AIRPARIF,,,,,,,,,,"48,63373","1,830529"
FR04184,BAGNEAUX-SUR-LOING,,,AIRPARIF,,,,,,,,,,"48,231475","2,70617777777777"
FR04185,POMMEUSE,,,AIRPARIF,,,,,,,,,,"48,8158806","2,99124722222222"
FR04319,TREMBLAY-EN-FRANCE,,,AIRPARIF,,,,,,,,,,"48,95555","2,575278"
FR04323,EVRY,,,AIRPARIF,,,,,,,,,,"48,62722","2,429167"
FR04324,Zone Rurale Est,,,AIRPARIF,,,,,,,,,,"48,761665","3,058333"
FR04328,Zone Rurale SE,,,AIRPARIF,,,,,,,,,,"48,3547","2,6453"
FR04329,Bld peripherique Est,,,AIRPARIF,,,,,,,,,,"48,838615","2,412781"
FR04331,LIMAY,,,AIRPARIF,,,,,,,,,,"48,985523","1,754142"
FR05010,St Romain de Colbosc,,,ATMO NORMANDIE,,,,,,,,,,"49,528927","0,358733"
FR05037,Caucriauville,,,ATMO NORMANDIE,,,,,,,,,,"49,503906","0,175731"
FR05056,Quillebeuf Phare,,,ATMO NORMANDIE,,,,,,,,,,"49,47372","0,526158"
FR05069,Tancarville Mairie,,,ATMO NORMANDIE,,,,,,,,,,"49,487682","0,451756"
FR05070,Harfleur Ecole Coty,,,ATMO NORMANDIE,,,,,,,,,,"49,505","0,201694"
FR05072,Sainte Adresse,,,ATMO NORMANDIE,,,,,,,,,,"49,50386","0,084614"
FR05074,Le Havre Ec. Herriot,,,ATMO NORMANDIE,,,,,,,,,,"49,48963","0,100703"
FR05078,Le Havre Massillon,,,ATMO NORMANDIE,,,,,,,,,,"49,4983","0,142706"
FR05080,Rogerville Mairie,,,ATMO NORMANDIE,,,,,,,,,,"49,50362","0,266872"
FR05081,La Cerlangue,,,ATMO NORMANDIE,,,,,,,,,,"49,504036","0,411594"
FR05082,Touques,,,ATMO NORMANDIE,,,,,,,,,,"49,348","0,109253"
FR05083,Gonfreville l Orcher,,,ATMO NORMANDIE,,,,,,,,,,"49,50273","0,232486"
FR05084,NDGravenchon Pasteur,,,ATMO NORMANDIE,,,,,,,,,,"49,493332","0,571853"
FR05085,Lillebonne,,,ATMO NORMANDIE,,,,,,,,,,"49,512146","0,539036"
FR05087,Maison Parc Brotonne,,,ATMO NORMANDIE,,,,,,,,,,"49,498295","0,758833"
FR05088,Fécamp,,,ATMO NORMANDIE,,,,,,,,,,"49,75","0,4159"
FR05089,Le Havre Lafaurie-montant,,,ATMO NORMANDIE,,,,,,,,,,"49,500187","0,110903"
FR05090,Le Havre ville-haute,,,ATMO NORMANDIE,,,,,,,,,,"49,514686","0,100645"
FR05500,Gonfreville l Orcher Côte Blanche,,,ATMO NORMANDIE,,,,,,,,,,"49,4989","0,2296"
FR05501,Gonfreville Pissotière à Madame,,,ATMO NORMANDIE,,,,,,,,,,"49,4975","0,2531"
FR05502,Quillebeuf sur Seine rue Féret,,,ATMO NORMANDIE,,,,,,,,,,"49,4675","0,531"
FR05503,Notre Dame de Gravenchon Prevert,,,ATMO NORMANDIE,,,,,,,,,,"49,4811","0,574611"
FR06001,Valenciennes Acacias,,,ATMO HAUTS DE FRANCE,,,,,,,,,,"50,35853","3,50804"
FR06003,Douai Theuriet,,,ATMO HAUTS DE FRANCE,,,,,,,,,,"50,37822","3,06586"
FR06006,Valenciennes Wallon,,,ATMO HAUTS DE FRANCE,,,,,,,,,,"50,36425","3,52273"
FR06007,Maubeuge Joyeuse,,,ATMO HAUTS DE FRANCE,,,,,,,,,,"50,27936","3,97691"
FR06011,Denain Villars,,,ATMO HAUTS DE FRANCE,,,,,,,,,,"50,32276","3,39593"
FR06133,Cartignies,,,ATMO HAUTS DE FRANCE,,,,,,,,,,"50,09225","3,85003"
FR06134,Saint Amand,,,ATMO HAUTS DE FRANCE,,,,,,,,,,"50,45647","3,42794"
FR07004,Montferrand,,,ATMO AUVERGNE-RHÔNE-ALPES,,,,,,,,,,"45,79728","3,113833"
FR07009,Jardin Lecoq,,,ATMO AUVERGNE-RHÔNE-ALPES,,,,,,,,,,"45,772167","3,0875"
FR07022,Paray le Fresil,,,ATMO AUVERGNE-RHÔNE-ALPES,,,,,,,,,,"46,652668","3,600667"
FR07028,Les Ancizes,,,ATMO AUVERGNE-RHÔNE-ALPES,,,,,,,,,,"45,929333","2,829806"
FR07031,Rageade,,,ATMO AUVERGNE-RHÔNE-ALPES,,,,,,,,,,"45,10472","3,277361"
